cron_keepalive,task_scheduled_concurrency_limit,task_scheduled_max_runtime,task_adhoc_concurrency_limit,task_adhoc_max_runtime,expected
5000000000,5000000000,5000000000,5000000000,5000000000,success
5000000000,9223372036854775806,5000000000,9223372036854775806,5000000000,success
5000000000,9223372036854775807,5000000000,9223372036854775807,5000000000,success
5000000000,9223372036854775808,5000000000,9223372036854775808,5000000000,failure
5000000000,-9223372036854775809,5000000000,-9223372036854775809,5000000000,failure
5000000000,-9223372036854775808,5000000000,-9223372036854775808,5000000000,failure
5000000000,-9223372036854775807,5000000000,-9223372036854775807,5000000000,failure
9223372036854775806,5000000000,9223372036854775806,5000000000,9223372036854775806,success
9223372036854775807,5000000000,9223372036854775807,5000000000,9223372036854775807,success
9223372036854775808,5000000000,9223372036854775808,5000000000,9223372036854775808,failure
-9223372036854775809,5000000000,-9223372036854775809,5000000000,-9223372036854775809,failure
-9223372036854775808,5000000000,-9223372036854775808,5000000000,-9223372036854775808,failure
-9223372036854775807,5000000000,-9223372036854775807,5000000000,-9223372036854775807,failure